sequence.identifier,background.identifier,vehicle1.identifier,vehicle1.trajectory,vehicle1.appearance_change,vehicle1.shadowed,vehicle1.dust,vehicle2.identifier,vehicle2.trajectory,vehicle2.appearance_change,vehicle2.shadowed,vehicle2.dust,vehicle3.identifier,vehicle3.trajectory,vehicle3.appearance_change,vehicle3.shadowed,vehicle3.dust,vehicle4.identifier,vehicle4.trajectory,vehicle4.appearance_change,vehicle4.shadowed,vehicle4.dust,vehicle5.identifier,vehicle5.trajectory,vehicle5.appearance_change,vehicle5.shadowed,vehicle5.dust,man1.identifier,man1.trajectory,man1.appearance_change,man1.shadowed,man2.identifier,man2.trajectory,man2.appearance_change,man2.shadowed,man3.identifier,man3.trajectory,man3.appearance_change,man3.shadowed,man4.identifier,man4.trajectory,man4.appearance_change,man4.shadowed,man5.identifier,man5.trajectory,man5.appearance_change,man5.shadowed,distractors.butterfly_level,distractors.bird_level,distractors.far_moving_vegetation,distractors.close_moving_vegetation,distractors.light_reflexion,distractors.blinking_light,occultants.solid_level,occultants.semi_transparent_level,camera.vibration,camera.focal_change,camera.pan_motion,camera.tilt_motion,camera.altitude,capture.illumination_level,capture.global_light_change_level,capture.local_light_change_level,capture.heat_haze_level,capture.humidity_level,capture.fog_level,signal_quality.picture_width,signal_quality.picture_height,signal_quality.force_balance,signal_quality.luminance_mean,signal_quality.luminance_dev,signal_quality.chrominance_U_mean,signal_quality.chrominance_U_dev,signal_quality.chrominance_V_mean,signal_quality.chrominance_V_dev,signal_quality.blur_level,signal_quality.static_noise_level,signal_quality.dynamic_noise_level,signal_quality.frame_instability,signal_quality.line_instability,signal_quality.compression_artefact_level,label_(0_if_usable_and_1_if_not)
1,0,5,0,0,0,0,14,2,0,0,0,1,0,0,0,0,3,6,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524668,0.21043,0.832859,0.0796658,0,0,0.609094,0.451004,0,0,0,0,1.2,0.729618,0.397477,0.0269812,0,0,0,1280,720,0,137.841,78.369,120.258,5.23158,140.907,18.0126,0,0,0,0,0,0,0
2,0,7,6,0,0,0,14,7,0,0,0,12,5,0,0,0,12,3,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601638,0.000466675,0.66417,0.0300667,0,0,0.427495,0.243482,0,0,0,0,1.2,0.909698,0.183565,0.0672765,0.12764,0,0,1280,720,0,80.1363,12.9715,136.591,31.9374,138.761,30.5142,0,0,0,0,0,0,0
3,0,8,0,0,0,0,1,0,0,0,0,9,4,0,0,0,13,6,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160286,0.0674125,0.145381,0.731,0,0,0.000939875,0.249796,0,0,0,0,1.2,0.313071,0.176713,0.0406016,0,0,0,1280,720,0,164.683,76.3632,120.405,4.45041,141.904,19.2111,0,0,0,0,0,0,0
4,0,8,6,0,0,0,14,0,0,0,0,13,5,0,0,0,0,5,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282144,0.0694108,0.00122504,0.903418,0,0,0.251206,0.365007,0,0,0,0,1.2,0.9046,0.515302,0.0380876,0.0533766,0,0,1280,720,0,145.534,66.8499,142.225,30.7798,138.511,27.6095,0,0,0,0,0,0,0
5,0,2,7,0,0,0,5,5,0,0,0,15,4,0,0,0,10,4,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49364,0.0973621,0.142408,0.32448,0,0,0.74578,0.256613,0,0,0,0,1.2,0.972214,0.0507872,0.337713,0.141239,0,0,1280,720,0,166.745,73.2178,113.036,9.17327,141.794,8.11782,0,0,0,0,0,0,0
6,0,9,4,0,0,0,6,7,0,0,0,15,0,0,0,0,10,7,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152523,0.170624,0.973626,0.468671,0,0,0.464351,0.600137,0,0,0,0,1.2,0.774,0.567599,0.0198971,0,0,0,1280,720,1,166.075,79.256,122.317,2.17577,129.561,1.29632,0,0,0,0,0,0,0
8,0,5,5,0,0,0,11,2,0,0,0,6,3,0,0,0,0,4,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340371,0.00390564,0.271333,0.319028,0,0,0.973359,0.914563,0,0,0,0,1.2,0.782519,0.105465,0.0801724,0,0,0,1280,720,0,158.083,74.5266,136.195,18.4639,130.162,21.869,0,0.410661,0,0,0,0,0
10,0,10,1,0,0,0,5,2,0,0,0,10,1,0,0,0,4,2,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397902,0.272717,0.702269,0.746215,0,0,0.747623,0.275059,0,0,0,0,1.2,0.971575,0.0982128,0.781248,0.891748,0,0,1280,720,0,165.898,13.0512,139.489,31.3225,139.275,21.2744,0,0,0,0,0,0,0
11,0,13,3,0,0,0,10,1,0,0,0,2,4,0,0,0,5,5,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454675,0.504874,0.590396,0.782503,0,0,0.408832,0.242997,0,0,0,0,1.2,0.916593,0.0546875,0.0346451,0.01342,0,0,1280,720,0,175.182,38.8985,117.799,29.3282,143.625,23.5327,0,0,0,0,0,0,0
12,0,8,1,0,0,0,12,0,0,0,0,13,0,0,0,0,1,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533914,0.0571026,0.143882,0.914943,0,0,0.204734,0.61849,0,0,0,0,1.2,0.121545,0.122638,0.290984,0,0,0,1280,720,0,122.288,42.5971,135.47,1.6005,129.131,24.5489,0,0,0,0,0,0,0
